389650,715080,631608,479046,959139,852448,371108,712358,92301,590663,149606,797979,876524,159516,333870,718058,433684,391360,200514,658133,
348637,783325,542784,409479,872352,765040,927685,294516,260673,652085,491706,233277,386524,209676,128094,646442,760297,258455,156492,168105,
553227,879239,424366,152678,846545,262022,861605,569935,72297,299952,317398,220042,925399,784589,406060,97214,285060,738269,378129,834276,
818175,607130,553033,824920,295405,254137,284617,941851,973329,587563,753783,36304,223608,401734,198183,932150,306675,532235,828834,315507,
920623,253281,868664,198139,369809,44118,323105,159105,107946,194575,410112,236356,312052,873574,641049,419071,958391,350462,583920,917549,
301505,662985,247179,438560,646240,186900,207364,646249,996415,949008,952225,972960,422210,942300,920563,790415,949973,559879,738350,516480,
890375,63929,932838,496883,884078,88340,793202,303449,625895,455232,887035,413305,224029,595497,817197,917558,733862,662646,846898,161508,
739810,997439,579101,777604,975595,358004,825611,180058,909828,152281,288702,936006,879551,729885,797064,353218,938662,545531,121266,566140,
691046,197336,550219,559946,564997,249218,549170,494526,346747,705249,761339,722643,685207,209429,984984,342512,834765,121962,220997,12053,
884109,922025,11299,62841,253403,565757,765317,631215,447883,136988,189694,777779,861554,863099,138345,75532,50620,365334,404494,569470,
497825,910626,631094,589146,273914,891107,971466,186726,513942,376407,215951,985391,752502,656495,544906,252341,914372,44208,42611,368125,
26699,781208,2395,222512,4314,84503,276776,951701,72843,757582,221419,139521,729110,982075,658896,162659,22852,837941,823712,347853,
110127,411488,327548,103614,604149,443663,118550,809485,927293,254097,499015,19653,61996,320819,48734,806736,934537,755382,48762,704561,
109002,629330,332258,173536,391295,240603,183243,101570,479153,406629,904644,3321,110964,825125,158554,806787,119520,387590,600365,374158,
816670,650566,659978,583139,912541,416623,757369,333522,504808,483711,996581,859735,130883,376948,288777,84259,327339,200720,880089,558233,
879274,654896,762627,231820,130016,422461,559215,69026,751488,880353,38421,50410,645353,654629,745540,527518,451095,595317,888003,60493,
